#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	10240	12429	4258	7393	78	10590	14743	4581	8091	58	3336	4582	2406	2926	82	7552	10077	3434	7393	109
0	11	70	6	1	2	0	11	51	6	4	0	2	8	75	8	0	5	12	9	75	0
0	12	429	74	7	2	0	70	171	7	14	0	4	135	432	17	0	3	165	11	519	0
0	13	103	10	1	2	0	57	70	7	11	0	2	20	121	12	0	2	23	9	137	0
0	15	148	4	1	2	0	2	75	1	2	0	2	2	56	1	0	3	6	2	160	0
0	16	162	7	1	1	0	2	96	1	1	0	1	4	55	1	0	2	2	3	115	0
0	17	178	4	1	1	0	1	113	1	1	0	1	1	72	1	0	3	1	5	131	0
0	18	221	4	2	1	0	4	152	2	3	0	2	5	158	5	0	1	8	5	197	0
0	19	236	3	1	1	0	1	179	1	1	0	1	1	79	2	0	2	8	5	250	0
0	20	1171	60	1	1	0	57	718	6	5	0	2	24	997	8	0	4	38	9	1328	0
0	21	419	6	1	2	0	17	338	2	2	0	1	7	312	4	0	2	5	2	458	0
0	22	520	3	1	1	0	6	390	1	1	0	1	1	411	1	0	2	3	3	514	0
0	23	197	2	1	1	0	2	140	1	1	0	1	1	91	1	0	1	3	1	153	0
0	24	344	3	1	1	0	7	252	1	1	0	1	4	227	1	0	1	5	1	315	0
0	25	1530	34	2	1	0	38	1012	2	1	0	3	3	1219	1	0	2	9	4	1829	0
0	26	760	5	1	1	0	20	570	1	1	0	1	1	601	1	0	1	5	4	747	0
0	27	317	3	1	1	0	3	241	1	1	0	1	1	207	1	0	2	2	1	301	0
0	28	2013	23	1	1	0	54	1422	1	3	0	3	3	1665	3	0	1	2	3	2262	0
0	29	803	5	1	1	0	13	697	1	1	0	1	1	677	1	0	1	2	2	886	0
0	30	2497	22	1	1	0	28	1886	4	2	0	2	2	1919	1	0	3	4	2	2649	0
0	31	1134	3	2	1	0	17	1122	1	1	0	3	1	949	1	0	1	1	1	1195	0
0	32	3008	16	1	1	0	34	2471	1	2	0	2	1	2563	1	0	1	2	1	3256	0
0	33	2137	4	1	1	0	14	1700	1	2	0	2	1	1834	1	0	1	2	2	2301	0
0	34	2276	1	1	1	0	31	2306	1	1	0	1	1	1856	1	0	1	6	2	2302	0
0	35	4999	8	2	2	0	49	3263	1	1	0	5	1	5231	2	0	1	2	1	6189	0
0	36	4807	4	1	1	0	11	3532	1	2	0	3	1	5331	1	0	1	3	1	6321	0
0	37	4605	1	2	1	0	11	2695	1	1	0	2	1	5368	1	0	1	1	1	5980	0
0	38	10143	1	2	1	0	2	5455	1	1	0	9	1	13736	3	0	1	6	1	13409	0
1	2	8787	10126	4022	6565	73	13848	17975	6703	10592	48	3942	4737	2457	3087	68	4921	6140	2716	4570	101
1	4	7	6	2	1	0	1	2	1	1	0	1	1	2	1	0	1	1	1	4	0
1	5	4	2	2	2	0	1	3	1	1	0	2	1	3	2	0	1	1	2	3	0
1	6	13	3	1	1	0	1	4	1	1	0	1	1	1	2	0	1	2	3	5	0
1	7	14	2	1	2	0	1	8	1	2	0	1	1	7	1	0	1	1	2	9	0
1	8	17	3	1	1	0	15	12	5	5	0	1	2	11	1	0	1	2	1	17	0
1	9	61	12	2	3	0	24	60	6	11	0	2	9	70	4	0	2	8	6	89	0
1	10	29	6	2	1	0	7	35	1	5	0	2	6	26	2	0	1	9	3	48	0
1	11	59	4	1	3	0	50	67	5	8	0	1	4	55	7	0	1	9	3	94	0
1	12	445	69	6	6	0	25	282	2	10	0	9	100	494	18	0	4	117	21	697	0
