#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	18235	2046	286	330	33	415	19997	147	170	19	222	539	7153	284	30	479	1714	734	14705	48
0	11	34	2	1	2	0	9	21	3	3	0	2	2	32	4	0	3	6	3	39	0
0	12	239	48	3	1	0	55	102	6	7	0	2	101	255	8	0	3	116	6	324	0
0	13	49	5	1	3	0	39	39	6	8	0	2	7	61	7	0	2	16	8	78	0
0	15	121	3	1	1	0	1	59	1	2	0	2	2	51	1	0	3	6	1	129	0
0	16	131	7	1	1	0	2	80	1	1	0	1	4	46	1	0	1	2	3	91	0
0	17	145	4	1	1	0	1	103	1	1	0	1	1	58	1	0	3	1	5	112	0
0	18	160	3	1	1	0	4	109	2	2	0	2	4	85	2	0	1	6	5	126	0
0	19	199	3	1	1	0	1	141	1	1	0	1	1	64	2	0	2	8	3	197	0
0	20	797	47	1	1	0	39	505	4	3	0	1	16	623	3	0	2	27	8	894	0
0	21	284	5	1	2	0	11	229	1	2	0	1	4	195	2	0	1	2	2	326	0
0	22	331	3	1	1	0	5	250	1	1	0	1	1	244	1	0	2	3	1	291	0
0	23	159	2	1	1	0	1	112	1	1	0	1	1	64	1	0	1	3	1	121	0
0	24	232	2	1	1	0	6	184	1	1	0	1	3	133	1	0	1	5	1	210	0
0	25	1088	28	1	1	0	30	755	2	1	0	3	2	818	1	0	1	8	3	1254	0
0	26	512	3	1	1	0	11	387	1	1	0	1	1	355	1	0	1	4	4	478	0
0	27	215	3	1	1	0	2	177	1	1	0	1	1	129	1	0	2	1	1	202	0
0	28	1372	15	1	1	0	41	1003	1	3	0	2	3	1132	2	0	1	2	1	1561	0
0	29	569	4	1	1	0	9	508	1	1	0	1	1	414	1	0	1	2	1	567	0
0	30	1851	19	1	1	0	22	1437	3	1	0	1	2	1336	1	0	3	4	2	1859	0
0	31	812	1	2	1	0	15	860	1	1	0	2	1	594	1	0	1	1	1	788	0
0	32	2186	10	1	1	0	19	1873	1	2	0	1	1	1738	1	0	1	2	1	2247	0
0	33	1576	3	1	1	0	14	1313	1	2	0	2	1	1286	1	0	1	2	2	1652	0
0	34	1645	1	1	1	0	27	1772	1	1	0	1	1	1302	1	0	1	4	3	1551	0
0	35	3694	5	2	1	0	42	2374	1	1	0	3	1	3751	1	0	1	1	1	4470	0
0	36	3612	3	1	1	0	7	2647	1	2	0	3	1	3966	1	0	1	2	1	4708	0
0	37	3502	1	1	1	0	7	2070	1	1	0	2	1	4165	1	0	1	1	1	4587	0
0	38	8060	1	2	1	0	2	4300	1	1	0	7	1	11005	3	0	1	6	1	10724	0
1	2	18188	1447	382	232	22	417	20171	274	197	21	149	413	6841	348	32	259	886	993	13806	48
1	4	6	6	2	1	0	1	2	1	1	0	1	1	1	1	0	1	1	1	2	0
1	5	3	2	2	2	0	1	3	1	1	0	2	1	2	2	0	1	1	1	3	0
1	6	13	3	1	1	0	1	4	1	1	0	1	1	1	2	0	1	1	3	4	0
1	7	13	1	1	2	0	1	5	1	2	0	1	1	7	1	0	1	1	1	6	0
1	8	15	3	1	1	0	10	8	4	4	0	1	1	9	1	0	1	1	1	14	0
1	9	35	6	1	1	0	13	36	2	6	0	1	6	32	3	0	2	5	3	47	0
1	10	17	5	2	1	0	7	20	1	3	0	1	3	11	2	0	1	6	3	26	0
1	11	37	1	1	1	0	40	46	2	5	0	1	4	22	4	0	1	5	3	61	0
1	12	278	52	5	4	0	14	170	1	10	0	5	73	287	9	0	3	78	15	450	0
1	13	90	7	3	2	0	13	79	1	6	0	2	11	93	4	0	1	20	9	144	0
1	14	23	1	1	1	0	2	9	1	3	0	1	1	15	1	0	1	2	1	31	0
1	15	73	3	1	2	0	13	53	1	1	0	2	1	41	1	0	2	3	1	70	0
1	16	80	2	1	1	0	4	45	2	2	0	1	2	32	1	0	1	1	2	74	0
1	17	103	3	1	1	0	6	55	1	1	0	1	1	45	2	0	1	2	1	88	0
1	18	111	2	1	1	0	26	86	1	3	0	1	3	105	4	0	1	3	2	139	0
1	19	165	3	1	1	0	9	110	1	3	0	1	1	72	1	0	1	3	3	177	0
1	20	953	34	2	1	0	21	658	2	2	0	3	10	588	4	0	2	12	9	1059	0
1	21	282	3	1	1	0	17	186	1	2	0	1	1	197	1	0	1	2	1	272	0
1	22	264	1	1	1	0	12	199	1	2	0	1	1	179	1	0	1	4	3	305	0
1	23	186	1	1	1	0	15	145	1	1	0	1	1	86	1	0	1	1	2	187	0
1	24	250	1	1	1	0	15	224	1	2	0	1	1	178	1	0	1	1	1	286	0
1	25	1353	14	1	1	0	20	923	3	1	0	1	5	965	3	0	1	5	6	1502	0
1	26	501	3	1	1	0	11	410	1	1	0	1	2	400	1	0	1	2	2	525	0
1	27	340	2	1	2	0	6	228	1	1	0	1	1	211	1	0	1	1	1	324	0
1	28	1480	12	3	1	0	15	1032	1	2	0	3	1	1198	1	0	2	1	1	1772	0
1	29	706	5	1	1	0	8	588	1	1	0	1	1	454	1	0	2	2	1	735	0
1	30	2204	9	1	1	0	11	1786	1	1	0	2	1	1484	1	0	1	2	3	2194	0
1	31	844	1	1	1	0	15	808	1	1	0	1	1	556	2	0	1	1	1	798	0
1	32	2469	4	1	1	0	13	2017	1	2	0	1	1	1926	1	0	1	1	1	2521	0
1	33	1695	2	1	1	0	7	1432	2	1	0	1	1	1316	1	0	1	2	2	1856	0
1	34	1788	1	2	1	0	6	1534	1	1	0	1	1	1297	1	0	1	1	1	1723	0
1	35	3242	5	1	1	0	4	1969	1	2	0	2	1	3431	3	0	1	1	1	4272	0
1	36	3564	2	1	1	0	4	2163	1	1	0	2	1	3581	2	0	1	1	1	4621	0
1	37	3483	1	1	1	0	2	1814	1	2	0	2	1	3828	1	0	1	2	1	4753	0
1	38	8184	1	1	1	0	1	3927	1	1	0	3	1	10592	2	0	1	2	2	11234	0
2	2	17482	1416	355	259	3	412	19734	240	196	0	127	377	6809	365	6	256	779	910	13366	4
2	3	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0
2	4	9	4	1	1	0	7	2	2	1	0	1	1	2	4	0	1	1	2	4	0
2	5	13	11	1	1	0	6	7	1	1	0	1	1	5	3	0	1	1	2	13	0
2	6	17	5	1	1	0	3	5	1	2	0	1	3	7	2	0	1	4	1	20	0
2	7	31	9	3	2	0	5	12	1	1	0	1	1	15	2	0	1	3	4	38	0
2	8	27	10	1	1	0	3	16	2	1	0	1	3	13	1	0	1	3	5	32	0
2	9	52	6	2	2	0	6	43	2	2	0	2	1	48	5	0	1	4	5	69	0
2	10	51	7	1	2	0	8	21	1	1	0	1	4	35	2	0	1	1	5	51	0
2	11	109	10	2	2	0	15	79	4	6	0	1	4	45	2	0	1	5	8	98	0
2	12	422	39	11	5	0	11	251	3	2	0	3	28	316	10	0	4	38	24	503	0
2	13	125	7	2	1	0	7	89	1	3	0	1	9	100	7	0	3	7	8	132	0
2	14	31	4	1	1	0	1	20	1	1	0	1	2	32	1	0	1	2	1	33	0
2	15	93	4	1	1	0	3	55	2	2	0	1	1	41	2	0	2	1	2	78	0
2	16	95	4	1	1	0	5	48	1	2	0	1	1	54	1	0	1	3	3	88	0
2	17	105	3	1	1	0	2	65	1	2	0	1	2	72	2	0	1	1	3	102	0
2	18	147	2	2	1	0	12	98	1	1	0	1	2	79	1	0	1	2	2	159	0
2	19	185	3	1	2	0	5	100	2	2	0	1	2	93	2	0	1	1	1	174	0
2	20	904	14	3	1	0	11	625	1	4	0	1	7	605	6	0	1	7	7	1090	0
2	21	289	4	1	1	0	4	231	1	1	0	1	2	221	1	0	1	3	3	318	0
2	22	256	2	1	1	0	3	202	2	1	0	1	1	212	1	0	1	1	2	305	0
2	23	211	1	1	1	0	5	146	1	2	0	1	1	109	2	0	1	1	2	172	0
2	24	267	1	1	1	0	4	213	1	1	0	1	1	192	1	0	1	1	2	267	0
2	25	1418	7	1	1	0	8	1008	1	1	0	1	2	893	2	0	1	3	3	1474	0
2	26	472	3	1	1	0	4	382	1	1	0	1	1	399	1	0	1	1	1	491	0
2	27	312	2	1	1	0	2	281	1	1	0	1	1	221	2	0	1	1	1	316	0
2	28	1592	4	1	1	0	5	1103	1	1	0	2	1	1207	2	0	1	2	2	1755	0
2	29	748	1	1	1	0	2	600	1	1	0	1	1	503	2	0	1	1	2	717	0
2	30	2212	6	1	1	0	2	1810	1	1	0	1	1	1538	3	0	1	4	2	2167	0
2	31	839	2	1	1	0	3	841	1	1	0	1	1	621	1	0	1	1	1	804	0
2	32	2564	3	1	1	0	4	1984	1	1	0	1	1	1911	1	0	1	1	2	2497	0
2	33	1769	2	1	1	0	2	1348	1	1	0	1	1	1433	1	0	1	1	2	1836	0
2	34	1864	1	2	1	0	3	1522	1	2	0	2	1	1413	1	0	1	1	1	1664	0
2	35	3157	1	1	1	0	1	1875	1	1	0	1	1	3527	2	0	1	1	1	4133	0
2	36	3547	1	1	1	0	1	2177	1	1	0	1	1	3864	1	0	1	1	1	4460	0
2	37	3486	1	1	1	0	1	1916	1	1	0	1	1	4029	3	0	1	1	1	4688	0
2	38	8378	1	1	1	0	1	3872	1	1	0	4	1	10979	4	0	1	1	1	11059	0
3	2	17010	1377	389	222	0	343	18990	234	187	0	115	373	6631	338	0	221	806	845	13533	0
3	3	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2	2	1	1	0
3	4	8	5	2	1	0	2	3	1	1	0	2	1	4	1	0	1	2	1	8	0
3	5	15	6	1	3	0	1	4	1	1	0	1	2	4	3	0	1	6	5	7	0
3	6	19	4	1	2	0	1	5	1	1	0	1	3	4	2	0	2	2	4	20	0
3	7	43	9	4	3	0	1	19	1	2	0	2	5	13	2	0	1	2	7	42	0
3	8	30	3	2	3	0	2	21	1	1	0	2	1	18	4	0	1	5	4	35	0
3	9	69	5	4	3	0	2	61	2	2	0	2	3	61	3	0	1	7	6	73	0
3	10	61	5	2	4	0	1	49	3	1	0	1	2	31	3	0	1	1	6	62	0
3	11	99	4	3	4	0	2	76	2	3	0	1	2	69	9	0	3	5	7	115	0
3	12	367	19	8	4	0	3	281	3	3	0	6	6	264	6	0	6	7	23	444	0
