#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	97	1	1	2	80	2	55	3	1	49	56	27	104	154	66	2	1	1	54	70
0	11	101	8	15	5	0	7	57	4	2	0	8	6	70	25	0	2	1	7	73	0
0	12	747	10	263	5	0	13	421	186	4	0	31	11	304	190	0	4	10	152	541	0
0	13	166	11	38	4	0	8	94	20	2	0	25	17	130	112	0	4	3	7	125	0
0	18	98	3	5	1	0	2	67	1	1	0	4	2	83	11	0	1	1	2	99	0
0	20	1294	5	60	4	0	4	779	27	1	0	11	7	750	151	0	1	1	99	1150	0
0	21	258	1	5	1	0	1	162	6	1	0	2	1	206	43	0	2	1	10	215	0
0	22	412	1	2	1	0	1	309	1	1	0	1	1	504	18	0	1	1	4	462	0
0	23	37	1	1	1	0	1	30	1	1	0	1	1	38	1	0	1	1	1	30	0
0	24	201	1	2	1	0	1	115	3	1	0	2	2	148	13	0	1	2	1	182	0
0	25	1676	1	7	1	0	1	976	3	3	0	3	4	1032	119	0	2	3	59	1530	0
0	26	702	1	4	1	0	1	442	2	1	0	2	2	626	48	0	1	1	5	632	0
0	27	219	1	1	1	0	1	156	1	1	0	1	1	238	8	0	1	1	2	204	0
0	28	2392	1	2	2	0	1	1439	4	5	0	5	3	1644	121	0	2	3	33	2190	0
0	29	764	2	2	1	0	1	508	1	1	0	1	1	756	40	0	2	1	7	713	0
0	30	2582	1	2	3	0	1	1606	1	1	0	2	4	1831	87	0	1	1	30	2441	0
0	31	1083	2	1	1	0	1	704	1	2	0	1	1	981	52	0	1	2	2	959	0
0	32	3605	1	2	2	0	1	2282	1	3	0	3	1	2692	112	0	2	1	19	3214	0
0	33	2773	1	1	2	0	1	1743	1	2	0	2	1	2118	53	0	1	1	4	2596	0
0	34	2508	2	1	2	0	1	1674	1	1	0	2	2	2637	99	0	1	1	3	2436	0
0	35	9038	1	4	1	0	1	6052	1	4	0	1	1	6942	165	0	1	3	14	8533	0
0	36	9425	1	3	3	0	1	6349	1	3	0	2	2	8099	91	0	2	2	6	8633	0
0	37	9516	2	1	1	0	1	6936	1	2	0	2	1	7226	17	0	1	1	2	8873	0
0	38	21060	2	8	4	0	3	18000	1	10	0	2	1	13494	4	0	1	2	3	19906	0
1	2	156	3	3	1	75	1	98	1	1	50	2	1	179	1	61	1	1	2	171	55
1	8	2	1	1	1	0	1	2	1	1	0	6	4	9	33	0	1	1	1	1	0
1	9	103	6	8	2	0	4	45	5	1	0	19	9	89	46	0	5	2	9	70	0
1	10	32	2	6	1	0	2	19	4	1	0	7	3	40	40	0	1	3	3	13	0
1	11	39	2	10	1	0	3	27	7	2	0	18	4	96	128	0	3	1	4	29	0
1	12	769	17	213	5	0	12	428	110	7	0	25	12	339	59	0	9	7	141	436	0
1	13	244	5	49	3	0	6	121	24	3	0	20	4	182	68	0	6	3	24	139	0
1	14	24	1	3	1	0	1	18	1	1	0	5	1	13	4	0	1	1	1	20	0
1	15	52	1	2	2	0	1	37	1	1	0	2	3	60	33	0	1	1	1	54	0
1	16	57	1	2	1	0	1	28	1	1	0	3	2	56	23	0	1	1	1	43	0
1	17	58	1	1	1	0	1	38	1	1	0	1	1	54	16	0	1	1	2	75	0
1	18	157	1	3	1	0	1	101	2	1	0	3	1	131	85	0	2	1	3	110	0
1	19	129	1	4	1	0	1	54	2	1	0	5	1	88	31	0	1	2	3	116	0
1	20	1400	1	27	2	0	4	710	13	3	0	3	3	873	68	0	1	3	83	1005	0
1	21	353	1	7	1	0	1	227	1	1	0	5	1	304	55	0	1	1	6	328	0
1	22	427	1	3	1	0	1	244	2	2	0	2	1	463	57	0	1	1	4	364	0
1	23	123	1	1	1	0	1	46	1	1	0	2	2	95	44	0	1	1	1	90	0
1	24	361	1	1	1	0	1	217	1	1	0	2	1	339	45	0	1	1	4	320	0
