#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	0	0	0	0	34	0	0	0	0	25	0	0	0	0	66	0	0	0	0	11
0	12	325	8	11	2	0	0	1166	0	0	0	0	0	101	0	0	0	0	0	263	0
0	12	1663	4	27	0	0	0	2656	0	0	0	0	0	457	0	0	0	0	0	2171	0
0	13	1716	3	4	1	0	0	2235	0	0	0	0	0	760	0	0	0	0	0	2172	0
0	15	5925	1	0	0	0	0	8069	0	0	0	0	0	1917	0	0	0	0	0	17148	0
0	16	3605	0	0	0	0	0	2214	0	0	0	0	0	3608	0	0	0	0	0	2252	0
0	16	871	0	0	0	0	0	379	0	0	0	0	0	489	0	0	0	0	0	524	0
0	18	1353	0	0	0	0	0	294	0	0	0	0	0	1001	0	0	0	0	0	486	0
0	19	142	0	0	0	0	0	94	0	0	0	0	0	147	0	0	0	0	0	90	0
0	19	124	0	0	0	0	0	47	0	0	0	0	0	83	0	0	0	0	0	65	0
0	20	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	24	1545	0	0	1	0	0	791	0	0	0	0	0	313	0	0	0	0	0	1053	0
0	24	2288	0	0	0	0	0	1335	0	0	0	0	0	387	0	0	0	0	0	1716	0
0	26	3153	0	1	0	0	0	1265	0	0	0	0	0	379	0	0	0	0	0	1631	0
0	27	989	0	0	0	0	0	543	0	0	0	0	0	450	0	0	0	0	0	648	0
0	27	381	0	0	0	0	0	126	0	0	0	0	0	113	0	0	0	0	0	160	0
0	28	2578	0	0	0	0	0	1056	0	0	0	0	0	3414	0	0	0	0	0	1026	0
0	29	1647	0	1	0	0	0	1463	0	0	0	0	0	1014	0	0	0	0	0	606	0
0	31	759	0	0	0	0	0	413	0	0	0	0	0	584	0	0	0	0	0	364	0
0	32	20191	0	2	0	0	0	8731	0	0	0	0	0	30160	0	0	0	0	0	7310	0
0	33	30936	0	1	0	0	0	19473	0	0	0	0	0	46414	0	0	0	0	0	15686	0
